latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
15.39522,120.66267,326.74,2.75,1.59,2024-02-02,0232,T,80,6.1NRT,297.16,75.23,D
15.39018,120.65613,329.86,2.75,1.59,2024-02-02,0232,T,83,6.1NRT,298.69,91.6,D
17.14388,104.52216,311.98,3.28,1.71,2024-02-02,0232,T,60,6.1NRT,294.38,23.09,D
14.72018,106.7452,314.38,2.03,1.39,2024-02-02,0232,T,54,6.1NRT,297.04,15.34,D
13.81257,108.44836,316.97,1.47,1.2,2024-02-02,0232,T,67,6.1NRT,294.1,12.4,D
13.81088,108.46143,318.33,1.47,1.2,2024-02-02,0232,T,66,6.1NRT,295.19,14.54,D
13.66728,109.01529,309.24,1.34,1.15,2024-02-02,0232,T,48,6.1NRT,295.52,7.69,D
13.77373,106.03181,323.99,2.23,1.45,2024-02-02,0232,T,77,6.1NRT,296.75,46.67,D
13.77465,106.02484,321.79,2.23,1.45,2024-02-02,0232,T,74,6.1NRT,296.66,39.23,D
13.56684,107.50171,326.62,1.71,1.28,2024-02-02,0232,T,80,6.1NRT,296.75,40.69,D
13.04392,107.38188,318.02,1.71,1.28,2024-02-02,0232,T,50,6.1NRT,297.56,18.28,D
13.03253,107.38049,316.37,1.71,1.28,2024-02-02,0232,T,32,6.1NRT,296.83,15.62,D
12.87113,106.05988,321.16,2.15,1.43,2024-02-02,0232,T,74,6.1NRT,298.3,28.04,D
12.86884,106.0793,316.44,2.15,1.42,2024-02-02,0232,T,51,6.1NRT,298.3,15.23,D
12.76032,106.78466,309.84,1.89,1.34,2024-02-02,0232,T,23,6.1NRT,285.86,13.69,D
12.86812,106.0721,320.29,2.15,1.42,2024-02-02,0232,T,62,6.1NRT,298.11,23.55,D
12.76634,106.77844,311.68,1.89,1.34,2024-02-02,0232,T,49,6.1NRT,285.25,17.24,D
12.4369,107.73695,313.18,1.58,1.24,2024-02-02,0232,T,62,6.1NRT,296.15,12.2,D
12.2205,106.71305,325.09,1.87,1.34,2024-02-02,0232,T,77,6.1NRT,299.42,34.83,D
12.22627,106.70688,318.92,1.87,1.34,2024-02-02,0232,T,61,6.1NRT,299.69,22.34,D
11.57753,107.47933,340.48,1.6,1.25,2024-02-02,0234,T,90,6.1NRT,296.1,77.64,D
11.57482,107.48657,356.56,1.6,1.25,2024-02-02,0234,T,98,6.1NRT,297.86,143.24,D
10.9996,107.58842,342.41,1.54,1.22,2024-02-02,0234,T,91,6.1NRT,299.16,76.86,D
10.82167,107.99285,317.59,1.44,1.19,2024-02-02,0234,T,65,6.1NRT,298.75,12.22,D
4.29981,113.99397,310.27,1.35,1.15,2024-02-02,0234,T,39,6.1NRT,293.75,7.31,D
1.3675,117.4675,301.11,2.8,1.6,2024-02-02,0234,T,15,6.1NRT,281.82,12.27,D
-7.76703,114.36063,315.34,2.22,1.44,2024-02-02,0238,T,22,6.1NRT,289.48,14.52,D
-6.99096,108.63654,309.27,1.01,1,2024-02-02,0238,T,57,6.1NRT,282.76,6.98,D
0.66133,-60.48695,303.25,1.15,1.07,2024-02-02,0147,T,54,6.1NRT,270.01,8.68,N
0.66701,-60.4833,305.35,1.15,1.07,2024-02-02,0147,T,64,6.1NRT,270.01,11.02,N
3.06558,-61.30645,325.59,1.2,1.09,2024-02-02,0147,T,100,6.1NRT,281.19,30.3,N
6.23128,-62.76536,300.72,1.34,1.15,2024-02-02,0149,T,33,6.1NRT,276.73,6.53,N
7.40264,-61.60386,314.91,1.11,1.05,2024-02-02,0149,T,90,6.1NRT,290.31,14.43,N
7.40123,-61.61372,307.51,1.12,1.05,2024-02-02,0149,T,72,6.1NRT,290.57,7.83,N
7.09568,-63.79327,302.87,1.53,1.22,2024-02-02,0149,T,52,6.1NRT,288.47,7.84,N
7.09889,-63.80003,306.02,1.53,1.22,2024-02-02,0149,T,67,6.1NRT,288.92,12.04,N
6.37269,-68.34185,300.02,3.6,1.78,2024-02-02,0149,T,8,6.1NRT,277.02,20.15,N
6.43465,-68.25609,310.83,3.53,1.77,2024-02-02,0149,T,63,6.1NRT,271.53,73.27,N
6.45015,-68.25864,312.68,3.53,1.77,2024-02-02,0149,T,68,6.1NRT,280.35,79.48,N
6.4452,-68.28952,320.07,3.55,1.77,2024-02-02,0149,T,100,6.1NRT,277.99,114,N
7.60622,-63.45057,307.43,1.42,1.18,2024-02-02,0149,T,71,6.1NRT,290.58,7.87,N
7.62852,-63.42125,306.68,1.41,1.18,2024-02-02,0149,T,37,6.1NRT,290.38,6.94,N
7.62472,-63.44627,310.03,1.42,1.18,2024-02-02,0149,T,56,6.1NRT,290.44,10.14,N
7.62279,-63.45895,315.93,1.42,1.18,2024-02-02,0149,T,92,6.1NRT,290.38,18.25,N
7.63694,-63.4356,321.3,1.41,1.18,2024-02-02,0149,T,100,6.1NRT,290.85,26.68,N
7.75899,-63.44839,310.5,1.41,1.18,2024-02-02,0149,T,80,6.1NRT,288.47,12.06,N
7.7675,-63.46249,304.26,1.41,1.18,2024-02-02,0149,T,58,6.1NRT,287.98,5.92,N
7.33642,-67.21234,306.54,2.8,1.6,2024-02-02,0149,T,68,6.1NRT,291.59,27.56,N
8.12996,-62.38208,301.57,1.2,1.09,2024-02-02,0149,T,35,6.1NRT,290.71,4.13,N
8.13448,-62.37775,301.33,1.2,1.09,2024-02-02,0149,T,30,6.1NRT,290.89,4.09,N
8.46758,-61.37236,310.73,1.07,1.03,2024-02-02,0149,T,80,6.1NRT,292.3,9.53,N
7.74548,-67.40479,303.9,2.86,1.61,2024-02-02,0149,T,49,6.1NRT,288.25,18.45,N
8.13086,-65.09637,312.96,1.84,1.33,2024-02-02,0149,T,84,6.1NRT,293.94,20.54,N
8.51795,-62.81541,318.56,1.25,1.11,2024-02-02,0149,T,97,6.1NRT,291.76,19.29,N
8.51633,-62.82651,352.69,1.25,1.11,2024-02-02,0149,T,100,6.1NRT,293.33,91.27,N
8.51471,-62.83763,355.26,1.26,1.11,2024-02-02,0149,T,100,6.1NRT,293.72,100.16,N
8.51308,-62.84876,307.91,1.26,1.11,2024-02-02,0149,T,68,6.1NRT,291.83,7.52,N
8.51468,-63.65762,308.02,1.42,1.18,2024-02-02,0149,T,67,6.1NRT,292.2,9.24,N
8.51276,-63.67017,309.45,1.42,1.18,2024-02-02,0149,T,73,6.1NRT,292.39,10.72,N
8.65906,-62.77008,304.45,1.24,1.11,2024-02-02,0149,T,52,6.1NRT,291.58,5.63,N
7.73213,-68.91942,301.81,3.78,1.82,2024-02-02,0149,T,38,6.1NRT,286.22,27.9,N
7.74057,-68.92738,302.44,3.78,1.82,2024-02-02,0149,T,35,6.1NRT,286.28,25.98,N
8.68436,-63.14873,304.24,1.31,1.13,2024-02-02,0149,T,50,6.1NRT,291.81,5.61,N
8.68261,-63.16029,307.62,1.31,1.13,2024-02-02,0149,T,67,6.1NRT,291.44,8.76,N
